category,createdDate,storyTitle,amountRaised,goal,donors,campaignLength,likes,shares,city,state,story
"Medical","December 20, 2018","Health Insurance for Hip Replacement","$5,975","$10,000","31","3","27","262","SAVANNAH","GA","One rainy night in October of 2015  my 24yr old boyfriend Chris fell off his bicycle on our way home. Weeks passed with his pain getting worse. After numerous visits to the hospital  with no action he was finally diagnosed with Avascular Necrosis of his left hip.In layman's terms  that means the femur head is no longer receiving blood  causing the bone to rot. Sometimes there are medical treatments to prevent the decay  but unfortunately Chris's femur head collapsed prematurely within months of the accident. This means he cannot walk or stand for a long time without having severe pain. Sleeping is virtually impossible without waking up from pain. Or sometimes the pain is so horrible he will have a seizure that causes him to pass out for a few hours. To go from an athletic ball of energy that used to walk the entire island that is his hometown  to not being able to leave the house without prepping days in advance  has caused a depression he fights every day. This gofundme is for a years worth of insurance at $400 a month  so $4800. This insurance has a $3000 deductible  doctors appointments are $25  specialist doctors are $50. Hospital visits are 20% after the deductible is paid. It also provides vision and dental  coverage he has not had since he was 18. This insurance is incredibly necessary to give Chris his way of life back  and the ability to provide for our family's future. The past two years have been rough monetarily  but we made it work. I absolutely cannot afford this insurance  but I will do everything possible to give Chris back stability.  We just need a little help."
"Medical","December 4, 2018","Health Insurance Assistance","$3,195","$15,000","51","4","54","125","HACIENDAHEIGHTS","CA","Society sees a person and thinks  “she’s pretty ” “he’s cute ” “he’s ugly ” “she’s fat.” What they don’t see is the person inside - the soul within our outside surfaces. We judge and judge people  because we think we know them from what we see. False  we just know their outsides. Many of you don’t know I have a sister  but I do - an older one too. She’s been facing demons ever since the 6th grade. It sucks. Trust me  it’s now like I have to play the role of the older sister. Right now  I can’t - I just can’t hold it together anymore.Just this Thanksgiving  I almost lost a sister to these demons fueled by society. She was involved in a car accident where she was harassed and taken advantage of - it wasn’t her fault. With the ongoing pressure and lawsuit accusations  my sister fell into a spiral and gave up. This giving up doesn’t mean kicking a rock on the floor and sighing  “Urgh  I give up.” She gave up. We’re now currently facing a huge medical bill  for her being in the ICU  that we can’t take care of.We kindly appreciate any donations. Amy is still in recovery right now. She has a long  bright journey ahead. Any donations and support helps! Remember  always be kind to another because you don’t know what that person has gone through or is going through. Some are just better at hiding it."
"Medical","December 4, 2018","We need a Christmas Miracle","$3,080","$3,200","38","4","37","112","WORCESTER","MA","Ken Ducharme is a loving husband  father  brother  and grandfather. He was a mechanic  repair man  and hardworking truck driver for over 40 years and is now disabled due to a work related accident. He is a kind man who would give the shirt off of his back for anyone. He has a loving wife  two adult children  and two young grandchildren to which he provides child care for.         Ken and his family have suffered financial hardship due to medical bills and cost of medical procedures. He has several medical conditions including Diabetes  Coronary Heart Disease (5 stints so far)  High cholesterol  Cervicalgia  Diverticulitis of sigmoid colon  Narrowing of spinal canal  Anemia  and Hearing loss. Ken is being refused medical care for Reliant beginning on December 27  2018 due to over due medical bills which total close to $3 200. He has received care under this medical team for over 30 years and has no other options for care.        Ken and his wife are both hardworking people who give to others and dedicate themselves to their family. Financial hardships have struck them and Ken is on the verge of losing his health care team  vital medications  and the medical care needed to continue to be the grandfather his grandchildren adore. Ken is a humble man who doesn’t ask for anything. I am writing this in hopes that we can raise enough money to help save the health of a man who has helped so many people throughout his entire life."
"Medical","November 17, 2018","A Young Mother with Cancer and no Health Insurance","$2,631","$35,000","65","5","71","562","HOUSTON","TX","Dear Friends On a recent trip to Ukraine to visit her dad  Alina was diagnosed with a stage 4 Squamous Cell Carcinoma. While she thought she had an inflammation in her throat from a cold a few months prior  it turned out to be a malignant growth in her throat. The growth was removed in Ukraine  and that is how a diagnosis was obtained. In an effort to fight for her life  she thought that returning to the United States for treatment  where her husband and daughters reside  was her best option. However so far  it is not turning out to be so. Alina does not have health insurance  and she has been turned down for immediate treatment here in the US. The Financial Assistance program that may potentially become available to her is a very long and drawn out process  and Alina needs treatment now. The growth in her throat has been removed in Ukraine back in the beginning of October  and she was told she needed to start treatment within 4-6 weeks after the removal. It has now been over 6 weeks  and the next available appointment for her scan without health insurance is not until the end of December. Alina absolutely cannot afford to wait that long! Her life literally depends on starting the treatment of this very aggressive form of cancer. We are desperately trying to fundraise  so she can start the medical treatment she needs now as she is not able to wait for the financial assistance to kick in. I urge you to not just pass this by  as every donation  even if it is $1  whatever the amount may be  collectively will make a huge difference. Alina’s husband is struggling to provide for their family of 4  and their oldest daughter is currently unable to work as she is helping with their youngest daughter while Alina undergoes several appointments  labs and tests.This is a very heartbreaking situation  but the beauty and hope here is that we can all help. Not all of us can donate a lot  but it is in the numbers of us is where it will make a difference. Please donate $1  $3 or $5 if that is all you can do. When many of us come together  we can help greatly. This is a season of giving  please remember Alina  and how much she will benefit from every donation. Thank you so much  we truly appreciate you and your help. God Bless"
"Medical","November 12, 2018","Keeping Our Health Insurance/Fighting Cancer Costs","$1,765","$10,000","14","5","14","103","LOSANGELES","CA","As so many of you who know me are personally aware   I have always generously given to and supported the fundraising efforts and needs of an extraordinary number of charities (over 125 of them)  schools  temples  churches  hospitals  foundations  etc..as well as individuals and the community at large.  Folks knew they could always call upon me and always count on me for support.Thank you to each of you for your kind words letting me know the countless number of lives I have positively effected and helped make a difference for.I am reaching out now because I am in an urgent and dire desperate financial circumstance as medical costs have exhausted all savings.The past two years has been a very painful and overwhelming experience…filled with much hardship and immense suffering in many many ways including my finally leaving a long-time abusive work environment.Two years ago my 10 year old son  Morgan  was in ICU for 7 days in a near diabetic coma.  There are continuing costs regarding his medical needs and insurance does not begin to cover all costs.  At this time  I need to get him an insulin pump. This will greatly greatly help his ongoing diabetes treatment and allow him to feel more like a kid again… And to feel more like all of his friends and the kids around him in school etc.He has an amazing soul and spirit and my 12 year old daughter Megan has been extraordinary!One year ago  my wife had a sudden diagnosis of stage III cancer.   This is picture was taken the week before the diagnosis.Eva recently returned home from the hospital after her second cancer surgery. There were several complications during the surgery and internal bleeding afterwards...she is in pain but stable.  There has been so much trauma associated with Stage III cancer…My kids ask \"will mom be ok\"...\"are you ok  Dad\" and  \"will mom live\" and \"how long is mom going to live?\"  I stay as steady and strong as possible for all of them.Now the tremendous costs of continued treatment  aftercare and health insurance continue.  The skyrocketing cost of health insurance (a 36% increase last year and 47% increase this year) has been overwhelming.   It is now increasing another 9%The costs not covered by insurance…just for prescriptions  for example  has been many many thousands and thousands and thousands of dollars...(chemo medication and other medicinal supplies for my wife and for my son) have been astronomical.Clearly  I need to maintain and keep our health insurance (bills have run over $250  000)…and to have a reliable vehicle...I am fighting hard to keep our home… To put food on the table… To keep the power and utilities on… Etc. EVERY DOLLAR DONATED MAKES A HUGE DIFFERENCE NOW TO ME AND MY FAMILY. I and my family desperately and urgently immediately need your help   just as I have helped and touched so many thousands upon thousands of lives.Thank you for your kindness and for your caring.  We are very very grateful and your support is making all the difference in the world.Steve  Eva  Megan and Morgan"
"Medical","December 14, 2018","I need help keeping my health insurance","$1,735","$2,050","34","4","34","14","LOSANGELES","CA","My health insurance was suspended a couple months ago for non-payment (could not afford) and my account will be terminated at the end of this month and I will not be able to get insurance again until open enrollment next year. I am 90% sure I have a kidney infection currently and need to go to the doctor as soon as possible  and my insurance will get unsuspended and I will be able to go to the doctor once I pay this so every bit helps me get closer to treating a potentially serious condition.  Thank you. I have some chronic health problems and need to be able to take medication and see doctors regularly  so this is a big deal. Incidentally  the reason I am prone to kidney infections is because of a bunch of botched surgeries I had. Wouldn't it be cool if I could go to the doctor and see what they could do to fix that? Yes  it would be cool."
"Medical","March 25, 2019","Health Insurance Help","$1,700","$8,000","13","23","15","","GREER","SC","We need help keeping our Health Insurance that runs out at the end of March 2019. This is one of the hardest things for us to do: to ask for help. Not because of pride but basically realizing that we cannot do it all ourselves. We humble ourselves to ask. Patrick had a stroke in October 2018  we have been struggling to make it day to day. Everyone keeps telling Patrick not to worry about anything except getting himself better. Not only is all this going on  but we have a daughter that will graduate from high school this year. So Patrick questions “How can I not worry?”We have mounting hospital  and inpatient rehabilitation bills that has already accrued and asking for payments daily. As well as  the ongoing specialist visits and outpatient physical and occupational therapy bills that are still to come working to get his strength in his left arm and hand.Patrick lost his job  is ineligible for unemployment at this time and our insurance runs out at the end of March. He already met his deductible in January and now it is just a matter of paying the copay for the doctor’s visits and the 20% for the therapy and anything else that comes up.I work for an independently owned company with a small number of employees  so we are not offered health insurance. We would greatly appreciate any help you are able to offer in us keeping Patrick’s health insurance for him to continue his treatments."
"Medical","March 23, 2019","Health Insurance for Religious","$1,670","$20,000","16","24","14","","HYATTSVILLE","MD","Paying for health insurance is a burden for everyone  but especially for Religious Priests and Seminarians living out their full consecration to God through the vow of poverty. The monthly premium we are currently asked to pay is almost $20 000.00. Thus  your donation will go towards helping us payoff one month’s premium.In the midst of this season of almsgiving  please consider helping us provide health insurance and the best healthcare to our religious. Every bit helps. We thank you in advance and will certainly keep you in our prayers."
"Medical","December 6, 2018","Reinstate Grandparents&apos; Health Insurance","$1,060","$510","11","4","13","43","STAUNTON","VA","Recently  my grandma got hip replacement surgery. She was lucky enough to only be in the hospital for a couple of days  and is now at home for the rest of her recovery. Also recently  my grandparents were hit with a major bill from their supplemental insurance (which covers what Medicare doesn't) of $1500  to be paid ASAP. The deadline is December 10. My grandparents are and remain a major part of my sister Julie's and my lives. We take care of them every day  and could use the stability of supplemental insurance. Please give what you can."
"Medical","April 3, 2019","Health insurance","$1,045","$7,000","17","13","17","65","ELMIRAGE","AZ","Finally years of Jiu-Jitsu has caught up to me and I had to under go knee surgery last month. Surgery went great and I was walking the next day. Then out of nowhere  I felt as massive side pain that lasted a day in a half. I could barley breathe or do anything.  My girlfriend finally convinced me to go to urgent care to find out what was wrong with. They immediately sent me to the ER were I found out I had a blood clot in my lung and and left leg. I was hospitalized for 4 days and put on heparin and given oxygen.  Doctors told me how lucky i was and that i could have died if i waited any longer. Now that I'm out of the hospital  I'm still on blood thinners and limited to working.  My heath insurance didn't cover all of the hospital expenses  and after surgery and hospitalization  being out of work for a month and now being limited to work I am stuck in a tough time in my life. Any donations are greatly appreciated even if it is a little amount it'll still help me pay off all the medical bills coming my way."
